2022-02-21 22:56:46 startup archives install
2022-02-21 22:59:08 upgrade zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1 1:1.2.11.dfsg-2ubuntu1
2022-02-21 22:59:08 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:59:08 status half-configured zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-21 22:59:08 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-21 22:59:08 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-21 22:59:08 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-21 22:59:08 startup packages configure
2022-02-21 22:59:08 configure zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1 <none>
2022-02-21 22:59:08 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-21 22:59:08 status half-configured zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-21 22:59:08 status installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-21 22:59:08 startup packages configure
2022-02-21 22:59:08 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:59:08 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:59:08 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:59:11 startup archives unpack
2022-02-21 22:59:11 upgrade ubuntu-keyring:all 2020.02.11.2 2020.02.11.4
2022-02-21 22:59:11 status half-configured ubuntu-keyring:all 2020.02.11.2
2022-02-21 22:59:11 status unpacked ubuntu-keyring:all 2020.02.11.2
2022-02-21 22:59:11 status half-installed ubuntu-keyring:all 2020.02.11.2
2022-02-21 22:59:11 status unpacked ubuntu-keyring:all 2020.02.11.4
2022-02-21 22:59:11 startup packages configure
2022-02-21 22:59:11 configure ubuntu-keyring:all 2020.02.11.4 <none>
2022-02-21 22:59:11 status unpacked ubuntu-keyring:all 2020.02.11.4
2022-02-21 22:59:11 status half-configured ubuntu-keyring:all 2020.02.11.4
2022-02-21 22:59:11 status installed ubuntu-keyring:all 2020.02.11.4
2022-02-21 22:59:11 startup packages configure
2022-02-21 22:59:13 startup archives unpack
2022-02-21 22:59:13 upgrade gcc-10-base:amd64 10-20200411-0ubuntu1 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 status half-configured gcc-10-base:amd64 10-20200411-0ubuntu1
2022-02-21 22:59:13 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2022-02-21 22:59:13 status half-installed gcc-10-base:amd64 10-20200411-0ubuntu1
2022-02-21 22:59:13 status unpacked gcc-10-base:amd64 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 startup packages configure
2022-02-21 22:59:13 configure gcc-10-base:amd64 10.3.0-1ubuntu1~20.04 <none>
2022-02-21 22:59:13 status unpacked gcc-10-base:amd64 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 status half-configured gcc-10-base:amd64 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 status installed gcc-10-base:amd64 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 startup archives unpack
2022-02-21 22:59:13 upgrade libgcc-s1:amd64 10-20200411-0ubuntu1 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:59:13 status half-configured libgcc-s1:amd64 10-20200411-0ubuntu1
2022-02-21 22:59:13 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2022-02-21 22:59:13 status half-installed libgcc-s1:amd64 10-20200411-0ubuntu1
2022-02-21 22:59:13 status unpacked libgcc-s1:amd64 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 startup packages configure
2022-02-21 22:59:13 configure libgcc-s1:amd64 10.3.0-1ubuntu1~20.04 <none>
2022-02-21 22:59:13 status unpacked libgcc-s1:amd64 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 status half-configured libgcc-s1:amd64 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 status installed libgcc-s1:amd64 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 startup archives unpack
2022-02-21 22:59:13 upgrade libstdc++6:amd64 10-20200411-0ubuntu1 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 status half-configured libstdc++6:amd64 10-20200411-0ubuntu1
2022-02-21 22:59:13 status unpacked libstdc++6:amd64 10-20200411-0ubuntu1
2022-02-21 22:59:13 status half-installed libstdc++6:amd64 10-20200411-0ubuntu1
2022-02-21 22:59:13 status unpacked libstdc++6:amd64 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 startup packages configure
2022-02-21 22:59:13 configure libstdc++6:amd64 10.3.0-1ubuntu1~20.04 <none>
2022-02-21 22:59:13 status unpacked libstdc++6:amd64 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 status half-configured libstdc++6:amd64 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 status installed libstdc++6:amd64 10.3.0-1ubuntu1~20.04
2022-02-21 22:59:13 startup archives unpack
2022-02-21 22:59:13 upgrade libc6:amd64 2.31-0ubuntu9 2.31-0ubuntu9.2
2022-02-21 22:59:13 status half-configured libc6:amd64 2.31-0ubuntu9
2022-02-21 22:59:13 status unpacked libc6:amd64 2.31-0ubuntu9
2022-02-21 22:59:13 status half-installed libc6:amd64 2.31-0ubuntu9
2022-02-21 22:59:13 status unpacked libc6:amd64 2.31-0ubuntu9.2
2022-02-21 22:59:13 startup packages configure
2022-02-21 22:59:13 configure libc6:amd64 2.31-0ubuntu9.2 <none>
2022-02-21 22:59:13 status unpacked libc6:amd64 2.31-0ubuntu9.2
2022-02-21 22:59:13 status half-configured libc6:amd64 2.31-0ubuntu9.2
2022-02-21 22:59:13 status installed libc6:amd64 2.31-0ubuntu9.2
2022-02-21 22:59:13 startup archives unpack
2022-02-21 22:59:13 upgrade base-files:amd64 11ubuntu5 11ubuntu5.5
2022-02-21 22:59:13 status half-configured base-files:amd64 11ubuntu5
2022-02-21 22:59:13 status unpacked base-files:amd64 11ubuntu5
2022-02-21 22:59:13 status half-installed base-files:amd64 11ubuntu5
2022-02-21 22:59:13 status unpacked base-files:amd64 11ubuntu5.5
2022-02-21 22:59:14 startup packages configure
2022-02-21 22:59:14 configure base-files:amd64 11ubuntu5.5 <none>
2022-02-21 22:59:14 status unpacked base-files:amd64 11ubuntu5.5
2022-02-21 22:59:14 status half-configured base-files:amd64 11ubuntu5.5
2022-02-21 22:59:14 status installed base-files:amd64 11ubuntu5.5
2022-02-21 22:59:14 startup archives unpack
2022-02-21 22:59:14 upgrade bash:amd64 5.0-6ubuntu1 5.0-6ubuntu1.1
2022-02-21 22:59:14 status half-configured bash:amd64 5.0-6ubuntu1
2022-02-21 22:59:14 status unpacked bash:amd64 5.0-6ubuntu1
2022-02-21 22:59:14 status half-installed bash:amd64 5.0-6ubuntu1
2022-02-21 22:59:14 status unpacked bash:amd64 5.0-6ubuntu1.1
2022-02-21 22:59:14 startup packages configure
2022-02-21 22:59:14 configure bash:amd64 5.0-6ubuntu1.1 <none>
2022-02-21 22:59:14 status unpacked bash:amd64 5.0-6ubuntu1.1
2022-02-21 22:59:14 status half-configured bash:amd64 5.0-6ubuntu1.1
2022-02-21 22:59:14 status installed bash:amd64 5.0-6ubuntu1.1
2022-02-21 22:59:14 startup archives unpack
2022-02-21 22:59:14 upgrade bsdutils:amd64 1:2.34-0.1ubuntu9 1:2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status half-configured bsdutils:amd64 1:2.34-0.1ubuntu9
2022-02-21 22:59:14 status unpacked bsdutils:amd64 1:2.34-0.1ubuntu9
2022-02-21 22:59:14 status half-installed bsdutils:amd64 1:2.34-0.1ubuntu9
2022-02-21 22:59:14 status unpacked bsdutils:amd64 1:2.34-0.1ubuntu9.3
2022-02-21 22:59:14 startup packages configure
2022-02-21 22:59:14 configure bsdutils:amd64 1:2.34-0.1ubuntu9.3 <none>
2022-02-21 22:59:14 status unpacked bsdutils:amd64 1:2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status half-configured bsdutils:amd64 1:2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status installed bsdutils:amd64 1:2.34-0.1ubuntu9.3
2022-02-21 22:59:14 startup archives unpack
2022-02-21 22:59:14 upgrade login:amd64 1:4.8.1-1ubuntu5 1:4.8.1-1ubuntu5.20.04.1
2022-02-21 22:59:14 status half-configured login:amd64 1:4.8.1-1ubuntu5
2022-02-21 22:59:14 status unpacked login:amd64 1:4.8.1-1ubuntu5
2022-02-21 22:59:14 status half-installed login:amd64 1:4.8.1-1ubuntu5
2022-02-21 22:59:14 status unpacked login:amd64 1:4.8.1-1ubuntu5.20.04.1
2022-02-21 22:59:14 startup packages configure
2022-02-21 22:59:14 configure login:amd64 1:4.8.1-1ubuntu5.20.04.1 <none>
2022-02-21 22:59:14 status unpacked login:amd64 1:4.8.1-1ubuntu5.20.04.1
2022-02-21 22:59:14 status half-configured login:amd64 1:4.8.1-1ubuntu5.20.04.1
2022-02-21 22:59:14 status installed login:amd64 1:4.8.1-1ubuntu5.20.04.1
2022-02-21 22:59:14 startup archives unpack
2022-02-21 22:59:14 upgrade perl-base:amd64 5.30.0-9build1 5.30.0-9ubuntu0.2
2022-02-21 22:59:14 status half-configured perl-base:amd64 5.30.0-9build1
2022-02-21 22:59:14 status unpacked perl-base:amd64 5.30.0-9build1
2022-02-21 22:59:14 status half-installed perl-base:amd64 5.30.0-9build1
2022-02-21 22:59:14 status unpacked perl-base:amd64 5.30.0-9ubuntu0.2
2022-02-21 22:59:14 startup packages configure
2022-02-21 22:59:14 configure perl-base:amd64 5.30.0-9ubuntu0.2 <none>
2022-02-21 22:59:14 status unpacked perl-base:amd64 5.30.0-9ubuntu0.2
2022-02-21 22:59:14 status half-configured perl-base:amd64 5.30.0-9ubuntu0.2
2022-02-21 22:59:14 status installed perl-base:amd64 5.30.0-9ubuntu0.2
2022-02-21 22:59:14 startup archives unpack
2022-02-21 22:59:14 upgrade tar:amd64 1.30+dfsg-7 1.30+dfsg-7ubuntu0.20.04.1
2022-02-21 22:59:14 status half-configured tar:amd64 1.30+dfsg-7
2022-02-21 22:59:14 status unpacked tar:amd64 1.30+dfsg-7
2022-02-21 22:59:14 status half-installed tar:amd64 1.30+dfsg-7
2022-02-21 22:59:14 status unpacked tar:amd64 1.30+dfsg-7ubuntu0.20.04.1
2022-02-21 22:59:14 startup packages configure
2022-02-21 22:59:14 configure tar:amd64 1.30+dfsg-7ubuntu0.20.04.1 <none>
2022-02-21 22:59:14 status unpacked tar:amd64 1.30+dfsg-7ubuntu0.20.04.1
2022-02-21 22:59:14 status half-configured tar:amd64 1.30+dfsg-7ubuntu0.20.04.1
2022-02-21 22:59:14 status installed tar:amd64 1.30+dfsg-7ubuntu0.20.04.1
2022-02-21 22:59:14 startup archives unpack
2022-02-21 22:59:14 upgrade libblkid1:amd64 2.34-0.1ubuntu9 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status half-configured libblkid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status unpacked libblkid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status half-installed libblkid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status unpacked libblkid1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 startup packages configure
2022-02-21 22:59:14 configure libblkid1:amd64 2.34-0.1ubuntu9.3 <none>
2022-02-21 22:59:14 status unpacked libblkid1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status half-configured libblkid1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status installed libblkid1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 startup archives unpack
2022-02-21 22:59:14 upgrade libuuid1:amd64 2.34-0.1ubuntu9 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status half-configured libuuid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status unpacked libuuid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status half-installed libuuid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status unpacked libuuid1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 startup packages configure
2022-02-21 22:59:14 configure libuuid1:amd64 2.34-0.1ubuntu9.3 <none>
2022-02-21 22:59:14 status unpacked libuuid1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status half-configured libuuid1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status installed libuuid1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 startup archives unpack
2022-02-21 22:59:14 upgrade libfdisk1:amd64 2.34-0.1ubuntu9 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status half-configured libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status half-installed libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 upgrade libmount1:amd64 2.34-0.1ubuntu9 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status half-configured libmount1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status unpacked libmount1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status half-installed libmount1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status unpacked libmount1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 startup packages configure
2022-02-21 22:59:14 configure libmount1:amd64 2.34-0.1ubuntu9.3 <none>
2022-02-21 22:59:14 status unpacked libmount1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status half-configured libmount1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status installed libmount1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 startup archives unpack
2022-02-21 22:59:14 upgrade libsmartcols1:amd64 2.34-0.1ubuntu9 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status half-configured libsmartcols1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status half-installed libsmartcols1:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 startup packages configure
2022-02-21 22:59:14 configure libsmartcols1:amd64 2.34-0.1ubuntu9.3 <none>
2022-02-21 22:59:14 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status half-configured libsmartcols1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status installed libsmartcols1:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 startup archives unpack
2022-02-21 22:59:14 upgrade fdisk:amd64 2.34-0.1ubuntu9 2.34-0.1ubuntu9.3
2022-02-21 22:59:14 status half-configured fdisk:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status unpacked fdisk:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:14 status half-installed fdisk:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:15 status unpacked fdisk:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:15 upgrade util-linux:amd64 2.34-0.1ubuntu9 2.34-0.1ubuntu9.3
2022-02-21 22:59:15 status half-configured util-linux:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:15 status unpacked util-linux:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:15 status half-installed util-linux:amd64 2.34-0.1ubuntu9
2022-02-21 22:59:15 status unpacked util-linux:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:15 startup packages configure
2022-02-21 22:59:15 configure util-linux:amd64 2.34-0.1ubuntu9.3 <none>
2022-02-21 22:59:15 status unpacked util-linux:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:15 status half-configured util-linux:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:15 status installed util-linux:amd64 2.34-0.1ubuntu9.3
2022-02-21 22:59:15 startup archives unpack
2022-02-21 22:59:15 upgrade libc-bin:amd64 2.31-0ubuntu9 2.31-0ubuntu9.2
2022-02-21 22:59:15 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:59:15 status unpacked libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:59:15 status half-installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:59:15 status unpacked libc-bin:amd64 2.31-0ubuntu9.2
2022-02-21 22:59:15 startup packages configure
2022-02-21 22:59:15 configure libc-bin:amd64 2.31-0ubuntu9.2 <none>
2022-02-21 22:59:15 status unpacked libc-bin:amd64 2.31-0ubuntu9.2
2022-02-21 22:59:15 status half-configured libc-bin:amd64 2.31-0ubuntu9.2
2022-02-21 22:59:15 status installed libc-bin:amd64 2.31-0ubuntu9.2
2022-02-21 22:59:15 startup archives unpack
2022-02-21 22:59:15 upgrade libgcrypt20:amd64 1.8.5-5ubuntu1 1.8.5-5ubuntu1.1
2022-02-21 22:59:15 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2022-02-21 22:59:15 status half-configured libgcrypt20:amd64 1.8.5-5ubuntu1
2022-02-21 22:59:15 status unpacked libgcrypt20:amd64 1.8.5-5ubuntu1
2022-02-21 22:59:15 status half-installed libgcrypt20:amd64 1.8.5-5ubuntu1
2022-02-21 22:59:15 status unpacked libgcrypt20:amd64 1.8.5-5ubuntu1.1
2022-02-21 22:59:15 startup packages configure
2022-02-21 22:59:15 configure libgcrypt20:amd64 1.8.5-5ubuntu1.1 <none>
2022-02-21 22:59:15 status unpacked libgcrypt20:amd64 1.8.5-5ubuntu1.1
2022-02-21 22:59:15 status half-configured libgcrypt20:amd64 1.8.5-5ubuntu1.1
2022-02-21 22:59:15 status installed libgcrypt20:amd64 1.8.5-5ubuntu1.1
2022-02-21 22:59:15 startup archives unpack
2022-02-21 22:59:15 upgrade liblz4-1:amd64 1.9.2-2 1.9.2-2ubuntu0.20.04.1
2022-02-21 22:59:15 status half-configured liblz4-1:amd64 1.9.2-2
2022-02-21 22:59:15 status unpacked liblz4-1:amd64 1.9.2-2
2022-02-21 22:59:15 status half-installed liblz4-1:amd64 1.9.2-2
2022-02-21 22:59:15 status unpacked liblz4-1:amd64 1.9.2-2ubuntu0.20.04.1
2022-02-21 22:59:15 startup packages configure
2022-02-21 22:59:15 configure liblz4-1:amd64 1.9.2-2ubuntu0.20.04.1 <none>
2022-02-21 22:59:15 status unpacked liblz4-1:amd64 1.9.2-2ubuntu0.20.04.1
2022-02-21 22:59:15 status half-configured liblz4-1:amd64 1.9.2-2ubuntu0.20.04.1
2022-02-21 22:59:15 status installed liblz4-1:amd64 1.9.2-2ubuntu0.20.04.1
2022-02-21 22:59:15 startup archives unpack
2022-02-21 22:59:15 upgrade liblzma5:amd64 5.2.4-1 5.2.4-1ubuntu1
2022-02-21 22:59:15 status half-configured liblzma5:amd64 5.2.4-1
2022-02-21 22:59:15 status unpacked liblzma5:amd64 5.2.4-1
2022-02-21 22:59:15 status half-installed liblzma5:amd64 5.2.4-1
2022-02-21 22:59:15 status unpacked liblzma5:amd64 5.2.4-1ubuntu1
2022-02-21 22:59:15 startup packages configure
2022-02-21 22:59:15 configure liblzma5:amd64 5.2.4-1ubuntu1 <none>
2022-02-21 22:59:15 status unpacked liblzma5:amd64 5.2.4-1ubuntu1
2022-02-21 22:59:15 status half-configured liblzma5:amd64 5.2.4-1ubuntu1
2022-02-21 22:59:15 status installed liblzma5:amd64 5.2.4-1ubuntu1
2022-02-21 22:59:15 startup archives unpack
2022-02-21 22:59:15 upgrade libsystemd0:amd64 245.4-4ubuntu3 245.4-4ubuntu3.15
2022-02-21 22:59:15 status half-configured libsystemd0:amd64 245.4-4ubuntu3
2022-02-21 22:59:15 status unpacked libsystemd0:amd64 245.4-4ubuntu3
2022-02-21 22:59:15 status half-installed libsystemd0:amd64 245.4-4ubuntu3
2022-02-21 22:59:15 status unpacked libsystemd0:amd64 245.4-4ubuntu3.15
2022-02-21 22:59:15 startup packages configure
2022-02-21 22:59:15 configure libsystemd0:amd64 245.4-4ubuntu3.15 <none>
2022-02-21 22:59:15 status unpacked libsystemd0:amd64 245.4-4ubuntu3.15
2022-02-21 22:59:15 status half-configured libsystemd0:amd64 245.4-4ubuntu3.15
2022-02-21 22:59:15 status installed libsystemd0:amd64 245.4-4ubuntu3.15
2022-02-21 22:59:15 startup archives unpack
2022-02-21 22:59:15 upgrade libudev1:amd64 245.4-4ubuntu3 245.4-4ubuntu3.15
2022-02-21 22:59:15 status half-configured libudev1:amd64 245.4-4ubuntu3
2022-02-21 22:59:15 status unpacked libudev1:amd64 245.4-4ubuntu3
2022-02-21 22:59:15 status half-installed libudev1:amd64 245.4-4ubuntu3
2022-02-21 22:59:15 status unpacked libudev1:amd64 245.4-4ubuntu3.15
2022-02-21 22:59:15 startup packages configure
2022-02-21 22:59:15 configure libudev1:amd64 245.4-4ubuntu3.15 <none>
2022-02-21 22:59:15 status unpacked libudev1:amd64 245.4-4ubuntu3.15
2022-02-21 22:59:15 status half-configured libudev1:amd64 245.4-4ubuntu3.15
2022-02-21 22:59:15 status installed libudev1:amd64 245.4-4ubuntu3.15
2022-02-21 22:59:15 startup archives unpack
2022-02-21 22:59:15 upgrade libzstd1:amd64 1.4.4+dfsg-3 1.4.4+dfsg-3ubuntu0.1
2022-02-21 22:59:15 status half-configured libzstd1:amd64 1.4.4+dfsg-3
2022-02-21 22:59:15 status unpacked libzstd1:amd64 1.4.4+dfsg-3
2022-02-21 22:59:15 status half-installed libzstd1:amd64 1.4.4+dfsg-3
2022-02-21 22:59:15 status unpacked libzstd1:amd64 1.4.4+dfsg-3ubuntu0.1
2022-02-21 22:59:15 startup packages configure
2022-02-21 22:59:15 configure libzstd1:amd64 1.4.4+dfsg-3ubuntu0.1 <none>
2022-02-21 22:59:15 status unpacked libzstd1:amd64 1.4.4+dfsg-3ubuntu0.1
2022-02-21 22:59:15 status half-configured libzstd1:amd64 1.4.4+dfsg-3ubuntu0.1
2022-02-21 22:59:15 status installed libzstd1:amd64 1.4.4+dfsg-3ubuntu0.1
2022-02-21 22:59:15 startup archives unpack
2022-02-21 22:59:15 upgrade zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1 1:1.2.11.dfsg-2ubuntu1.2
2022-02-21 22:59:15 status half-configured zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-21 22:59:15 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-21 22:59:15 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-21 22:59:15 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1.2
2022-02-21 22:59:15 startup packages configure
2022-02-21 22:59:15 configure zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1.2 <none>
2022-02-21 22:59:15 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1.2
2022-02-21 22:59:15 status half-configured zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1.2
2022-02-21 22:59:15 status installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1.2
2022-02-21 22:59:15 startup archives unpack
2022-02-21 22:59:16 upgrade libapt-pkg6.0:amd64 2.0.2 2.0.6
2022-02-21 22:59:16 status half-configured libapt-pkg6.0:amd64 2.0.2
2022-02-21 22:59:16 status unpacked libapt-pkg6.0:amd64 2.0.2
2022-02-21 22:59:16 status half-installed libapt-pkg6.0:amd64 2.0.2
2022-02-21 22:59:16 status unpacked libapt-pkg6.0:amd64 2.0.6
2022-02-21 22:59:16 startup packages configure
2022-02-21 22:59:16 configure libapt-pkg6.0:amd64 2.0.6 <none>
2022-02-21 22:59:16 status unpacked libapt-pkg6.0:amd64 2.0.6
2022-02-21 22:59:16 status half-configured libapt-pkg6.0:amd64 2.0.6
2022-02-21 22:59:16 status installed libapt-pkg6.0:amd64 2.0.6
2022-02-21 22:59:16 startup archives unpack
2022-02-21 22:59:16 upgrade gpgv:amd64 2.2.19-3ubuntu2 2.2.19-3ubuntu2.1
2022-02-21 22:59:16 status half-configured gpgv:amd64 2.2.19-3ubuntu2
2022-02-21 22:59:16 status unpacked gpgv:amd64 2.2.19-3ubuntu2
2022-02-21 22:59:16 status half-installed gpgv:amd64 2.2.19-3ubuntu2
2022-02-21 22:59:16 status unpacked gpgv:amd64 2.2.19-3ubuntu2.1
2022-02-21 22:59:16 startup packages configure
2022-02-21 22:59:16 configure gpgv:amd64 2.2.19-3ubuntu2.1 <none>
2022-02-21 22:59:16 status unpacked gpgv:amd64 2.2.19-3ubuntu2.1
2022-02-21 22:59:16 status half-configured gpgv:amd64 2.2.19-3ubuntu2.1
2022-02-21 22:59:16 status installed gpgv:amd64 2.2.19-3ubuntu2.1
2022-02-21 22:59:16 startup archives unpack
2022-02-21 22:59:16 upgrade libnettle7:amd64 3.5.1+really3.5.1-2 3.5.1+really3.5.1-2ubuntu0.2
2022-02-21 22:59:16 status half-configured libnettle7:amd64 3.5.1+really3.5.1-2
2022-02-21 22:59:16 status unpacked libnettle7:amd64 3.5.1+really3.5.1-2
2022-02-21 22:59:16 status half-installed libnettle7:amd64 3.5.1+really3.5.1-2
2022-02-21 22:59:16 status unpacked libnettle7:amd64 3.5.1+really3.5.1-2ubuntu0.2
2022-02-21 22:59:16 startup packages configure
2022-02-21 22:59:16 configure libnettle7:amd64 3.5.1+really3.5.1-2ubuntu0.2 <none>
2022-02-21 22:59:16 status unpacked libnettle7:amd64 3.5.1+really3.5.1-2ubuntu0.2
2022-02-21 22:59:16 status half-configured libnettle7:amd64 3.5.1+really3.5.1-2ubuntu0.2
2022-02-21 22:59:16 status installed libnettle7:amd64 3.5.1+really3.5.1-2ubuntu0.2
2022-02-21 22:59:16 startup archives unpack
2022-02-21 22:59:16 upgrade libhogweed5:amd64 3.5.1+really3.5.1-2 3.5.1+really3.5.1-2ubuntu0.2
2022-02-21 22:59:16 status half-configured libhogweed5:amd64 3.5.1+really3.5.1-2
2022-02-21 22:59:16 status unpacked libhogweed5:amd64 3.5.1+really3.5.1-2
2022-02-21 22:59:16 status half-installed libhogweed5:amd64 3.5.1+really3.5.1-2
2022-02-21 22:59:16 status unpacked libhogweed5:amd64 3.5.1+really3.5.1-2ubuntu0.2
2022-02-21 22:59:16 startup packages configure
2022-02-21 22:59:16 configure libhogweed5:amd64 3.5.1+really3.5.1-2ubuntu0.2 <none>
2022-02-21 22:59:16 status unpacked libhogweed5:amd64 3.5.1+really3.5.1-2ubuntu0.2
2022-02-21 22:59:16 status half-configured libhogweed5:amd64 3.5.1+really3.5.1-2ubuntu0.2
2022-02-21 22:59:16 status installed libhogweed5:amd64 3.5.1+really3.5.1-2ubuntu0.2
2022-02-21 22:59:16 startup archives unpack
2022-02-21 22:59:16 upgrade libp11-kit0:amd64 0.23.20-1build1 0.23.20-1ubuntu0.1
2022-02-21 22:59:16 status half-configured libp11-kit0:amd64 0.23.20-1build1
2022-02-21 22:59:16 status unpacked libp11-kit0:amd64 0.23.20-1build1
2022-02-21 22:59:16 status half-installed libp11-kit0:amd64 0.23.20-1build1
2022-02-21 22:59:16 status unpacked libp11-kit0:amd64 0.23.20-1ubuntu0.1
2022-02-21 22:59:16 startup packages configure
2022-02-21 22:59:16 configure libp11-kit0:amd64 0.23.20-1ubuntu0.1 <none>
2022-02-21 22:59:16 status unpacked libp11-kit0:amd64 0.23.20-1ubuntu0.1
2022-02-21 22:59:16 status half-configured libp11-kit0:amd64 0.23.20-1ubuntu0.1
